,date,# of trips
590,2014-07-18,2761
591,2014-07-19,2248
592,2014-07-20,2151
593,2014-07-21,2612
594,2014-07-22,2681
595,2014-07-23,2624
596,2014-07-24,2677
597,2014-07-25,2762
598,2014-07-26,2267
599,2014-07-27,1220
600,2014-07-28,2141
601,2014-07-29,2674
602,2014-07-30,2794
603,2014-07-31,2651
604,2014-08-01,2449
605,2014-08-02,1488
606,2014-08-03,1957
607,2014-08-04,2419
608,2014-08-05,2622
609,2014-08-06,2715
610,2014-08-07,2314
611,2014-08-08,2631
612,2014-08-09,2248
613,2014-08-10,2009
614,2014-08-11,2569
615,2014-08-12,2690
616,2014-08-13,765
617,2014-08-14,2606
618,2014-08-15,2396
619,2014-08-16,1948
620,2014-08-17,1928
621,2014-08-18,2503
622,2014-08-19,2576
623,2014-08-20,2667
624,2014-08-21,2445
625,2014-08-22,2334
626,2014-08-23,1916
627,2014-08-24,2122
628,2014-08-25,2393
629,2014-08-26,2524
630,2014-08-27,2350
631,2014-08-28,2539
632,2014-08-29,2373
633,2014-08-30,1971
634,2014-08-31,1847
635,2014-09-01,1779
636,2014-09-02,2215
637,2014-09-03,2586
638,2014-09-04,2728
639,2014-09-05,2690
640,2014-09-06,1982
641,2014-09-07,2351
642,2014-09-08,2700
643,2014-09-09,2778
644,2014-09-10,2760
645,2014-09-11,2661
646,2014-09-12,2807
647,2014-09-13,1812
648,2014-09-14,2216
649,2014-09-15,2625
650,2014-09-16,2611
651,2014-09-17,2799
652,2014-09-18,2788
653,2014-09-19,2603
654,2014-09-20,2152
655,2014-09-21,1886
656,2014-09-22,2631
657,2014-09-23,2668
658,2014-09-24,2494
659,2014-09-25,2302
660,2014-09-26,2712
661,2014-09-27,2361
662,2014-09-28,2127
663,2014-09-29,2517
664,2014-09-30,1767
665,2014-10-01,1265
666,2014-10-02,1862
667,2014-10-03,2211
668,2014-10-04,1249
669,2014-10-05,1851
670,2014-10-06,2379
671,2014-10-07,2396
672,2014-10-08,2551
673,2014-10-09,2536
674,2014-10-10,2464
675,2014-10-11,835
676,2014-10-12,1770
677,2014-10-13,1767
678,2014-10-14,2462
679,2014-10-15,2664
680,2014-10-16,1496
681,2014-10-17,2647
682,2014-10-18,2424
683,2014-10-19,1895
684,2014-10-20,2175
685,2014-10-21,2344
686,2014-10-22,1005
687,2014-10-23,966
688,2014-10-24,1906
689,2014-10-25,2012
690,2014-10-26,1439
691,2014-10-27,2227
692,2014-10-28,2406
693,2014-10-29,2334
694,2014-10-30,2353
695,2014-10-31,2149
696,2014-11-01,511
697,2014-11-02,436
698,2014-11-03,1746
699,2014-11-04,2004
700,2014-11-05,2160
701,2014-11-06,1172
702,2014-11-07,1687
703,2014-11-08,1266
704,2014-11-09,1394
705,2014-11-10,1971
706,2014-11-11,1987
707,2014-11-12,2011
708,2014-11-13,1924
709,2014-11-14,1658
710,2014-11-15,1075
711,2014-11-16,979
712,2014-11-17,507
713,2014-11-18,1321
714,2014-11-19,1268
715,2014-11-20,1489
716,2014-11-21,1258
717,2014-11-22,788
718,2014-11-23,1118
719,2014-11-24,1060
720,2014-11-25,1570
721,2014-11-26,391
722,2014-11-27,196
723,2014-11-28,278
724,2014-11-29,367
725,2014-11-30,615
726,2014-12-01,1316
727,2014-12-02,1043
728,2014-12-03,877
729,2014-12-04,1133
730,2014-12-05,933
731,2014-12-06,260
732,2014-12-07,505
733,2014-12-08,736
734,2014-12-09,160
735,2014-12-10,616
736,2014-12-11,770
737,2014-12-12,863
738,2014-12-13,567
739,2014-12-14,535
740,2014-12-15,943
741,2014-12-16,952
742,2014-12-17,787
743,2014-12-18,818
744,2014-12-19,760
745,2014-12-20,341
746,2014-12-21,259
747,2014-12-22,589
748,2014-12-23,324
749,2014-12-24,167
750,2014-12-25,145
751,2014-12-26,311
752,2014-12-27,386
753,2014-12-28,269
754,2014-12-29,499
755,2014-12-30,367
756,2014-12-31,276
757,2015-01-01,127
758,2015-01-02,213
759,2015-01-03,142
760,2015-01-04,112
761,2015-01-05,337
762,2015-01-06,267
763,2015-01-07,296
764,2015-01-08,247
765,2015-01-09,275
766,2015-01-10,162
767,2015-01-11,134
768,2015-01-12,279
769,2015-01-13,387
770,2015-01-14,379
771,2015-01-15,287
772,2015-01-16,345
773,2015-01-17,171
774,2015-01-18,244
775,2015-01-19,330
776,2015-01-20,490
777,2015-01-21,450
778,2015-01-22,511
779,2015-01-23,523
780,2015-01-24,60
781,2015-01-25,163
782,2015-01-26,271
783,2015-01-28,53
784,2015-01-29,246
785,2015-01-30,233
786,2015-01-31,106
787,2015-02-01,149
788,2015-02-02,7
789,2015-02-03,81
790,2015-02-04,208
791,2015-02-05,161
792,2015-02-06,210
793,2015-02-07,142
794,2015-02-08,53
795,2015-02-10,29
796,2015-02-11,161
797,2015-02-12,171
798,2015-02-13,173
799,2015-02-14,64
800,2015-02-16,11
801,2015-02-17,105
802,2015-02-18,199
803,2015-02-19,170
804,2015-02-20,191
805,2015-02-21,102
806,2015-02-22,132
807,2015-02-23,237
808,2015-02-24,233
809,2015-02-25,299
810,2015-02-26,268
811,2015-02-27,289
812,2015-02-28,175
813,2015-03-01,12
814,2015-03-02,289
815,2015-03-03,298
816,2015-03-04,287
817,2015-03-05,367
818,2015-03-06,382
819,2015-03-07,221
820,2015-03-08,194
821,2015-03-09,491
822,2015-03-10,541
823,2015-03-11,612
824,2015-03-12,489
825,2015-03-13,524
826,2015-03-14,100
827,2015-03-15,128
828,2015-03-16,482
829,2015-03-17,342
830,2015-03-18,339
831,2015-03-19,351
832,2015-03-20,368
833,2015-03-21,191
834,2015-03-22,199
835,2015-03-23,397
836,2015-03-24,463
837,2015-03-25,553
838,2015-03-26,385
839,2015-03-27,483
840,2015-03-28,163
841,2015-03-29,349
842,2015-03-30,579
843,2015-03-31,688
844,2015-04-01,750
845,2015-04-02,748
846,2015-04-03,663
847,2015-04-04,489
848,2015-04-05,373
849,2015-04-06,625
850,2015-04-07,586
851,2015-04-08,503
852,2015-04-09,426
853,2015-04-10,623
854,2015-04-11,673
855,2015-04-12,993
856,2015-04-13,942
857,2015-04-14,804
858,2015-04-15,913
859,2015-04-16,803
860,2015-04-17,1227
861,2015-04-18,1496
862,2015-04-19,1375
863,2015-04-20,589
864,2015-04-21,1520
865,2015-04-22,1792
866,2015-04-23,1519
867,2015-04-24,1479
868,2015-04-25,1381
869,2015-04-26,1146
870,2015-04-27,1501
871,2015-04-28,1649
872,2015-04-29,1873
873,2015-04-30,1862
874,2015-05-01,1819
875,2015-05-02,1652
876,2015-05-03,1833
877,2015-05-04,2122
878,2015-05-05,1825
879,2015-05-06,2167
880,2015-05-07,2230
881,2015-05-08,2159
882,2015-05-09,1977
883,2015-05-10,1837
884,2015-05-11,1942
